text,id,created,is_retweet,favorites,retweets
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100126363389954,2021-04-05 15:54:27,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100121837801474,2021-04-05 15:54:26,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100068482064388,2021-04-05 15:54:13,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100063675342859,2021-04-05 15:54:12,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379099985610993675,2021-04-05 15:53:53,True,0,304
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379099841851240450,2021-04-05 15:53:19,True,0,27
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379098767794827265,2021-04-05 15:49:03,True,0,304
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379098720390815745,2021-04-05 15:48:52,True,0,27
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379097090559643652,2021-04-05 15:42:23,True,0,27
"b'RT @thegistusa: Arizona head coach Adia Barnes is an incredible role model \xf0\x9f\x92\x9c\n\nWhile engineering a stunning NCAA tournament run, Barnes also\xe2\x80\xa6'",1379096862527905792,2021-04-05 15:41:29,True,0,1
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379095713208885257,2021-04-05 15:36:55,True,0,27
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379094578859438081,2021-04-05 15:32:24,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379094003929468930,2021-04-05 15:30:07,True,0,304
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379093370224701449,2021-04-05 15:27:36,True,0,27
"b'RT @RachelRCarlson: It\xe2\x80\x99s Stanford women for the win!\xc2\xa0\xc2\xa0But props are owed to Arizona coach &amp; new mom Adia Barnes.\xc2\xa0\xc2\xa0\n\nAs the announcer said,\xe2\x80\xa6'",1379092755486412800,2021-04-05 15:25:09,True,0,3
